OBJECTNUMMER;Functie;Gedetecteerde_panelen;Vermogen(kwh);LNG;LAT;geometry;subject;region_name;regio_type;region_code;lon;lat
;;;;;;POINT (52.3447104181295 4.90321701500962);Scheldebuurt Oost;Amsterdam;Buurt;BU03635203;4.90321701500962;52.3447104181295
;;;;;;POINT (52.33940026820361 4.897943477049781);Veluwebuurt;Amsterdam;Buurt;BU03635206;4.897943477049781;52.33940026820361
;;;;;;POINT (52.33753194938829 4.89385055994672);Kop Zuidas;Amsterdam;Buurt;BU03635207;4.89385055994672;52.337531949388286
;;;;;;POINT (52.3478840256804 4.904889438200621);IJselbuurt;Amsterdam;Wijk;WK036353;4.9048894382006205;52.3478840256804
;;;;;;POINT (52.34755197450271 4.900812166766469);IJselbuurt West;Amsterdam;Buurt;BU03635300;4.900812166766469;52.34755197450271
;;;;;;POINT (52.3481624149457 4.90830433605139);IJselbuurt Oost;Amsterdam;Buurt;BU03635301;4.90830433605139;52.348162414945705
;;;;;;POINT (52.3398376286644 4.90502109875482);Rijnbuurt;Amsterdam;Wijk;WK036354;4.90502109875482;52.3398376286644
;;;;;;POINT (52.34520479112449 4.90952956102562);Kromme Mijdrechtbuurt;Amsterdam;Buurt;BU03635400;4.90952956102562;52.345204791124495
;;;;;;POINT (52.34170690756061 4.91078172634449);Rijnbuurt Oost;Amsterdam;Buurt;BU03635401;4.91078172634449;52.34170690756061
;;;;;;POINT (52.339492607874 4.90467850383878);Rijnbuurt Midden;Amsterdam;Buurt;BU03635402;4.90467850383878;52.339492607874
;;;;;;POINT (52.3416931443264 4.89976610798398);Rijnbuurt West;Amsterdam;Buurt;BU03635403;4.8997661079839805;52.3416931443264
;;;;;;POINT (52.3352352280659 4.899869421109861);Zorgvlied;Amsterdam;Buurt;BU03635404;4.8998694211098615;52.3352352280659
;;;;;;POINT (52.34760079882771 4.92649214638585);Frankendael;Amsterdam;Wijk;WK036355;4.92649214638585;52.347600798827706
;;;;;;POINT (52.34984854939201 4.92030219944158);De Eenhoorn;Amsterdam;Buurt;BU03635501;4.92030219944158;52.34984854939201
