OBJECTNUMMER;Functie;Gedetecteerde_panelen;Vermogen(kwh);LNG;LAT;WKT_LAT_LNG
2516;Wonen;9.4;2000;4.930.367;5.240.562;POINT(52.40562,4.930367)
2517;Wonen;2;0;4.866.462;52.353.375;POINT(52.353375,4.866462)
2518;Wonen;10;3000;4.936.594;52.352.737;POINT(52.352737,4.936594)
2519;NietWonen;31;8000;4.836.252;52.341.843;POINT(52.341843,4.836252)
2520;Wonen;9.4;2000;4.995.057;52.301.086;POINT(52.301086,4.995057)
2521;NietWonen;120;31000;4.906.608;52.400.609;POINT(52.400609,4.906608)
2522;NietWonen;24;6000;4.944.448;5.236.329;POINT(52.36329,4.944448)
2523;Wonen;9.4;2000;4.982.881;5.232.514;POINT(52.32514,4.982881)
2524;Wonen;12;3000;4.867.925;52.345.036;POINT(52.345036,4.867925)
2525;Wonen;9.4;2000;497.659;52.361.156;POINT(52.361156,4.97659)
2526;Wonen;9.4;2000;4.788.245;52.382.738;POINT(52.382738,4.788245)
2527;Wonen;9.4;2000;4.774.682;52.349.313;POINT(52.349313,4.774682)
2528;NietWonen;7;2000;4.872.782;52.375.234;POINT(52.375234,4.872782)
2529;Wonen;9.4;2000;4.939.006;52.352.922;POINT(52.352922,4.939006)
2530;Wonen;9.4;2000;4.962.084;52.321.644;POINT(52.321644,4.962084)
2531;Wonen;9.4;2000;4.779.146;52.370.165;POINT(52.370165,4.779146)
2532;Wonen;9.4;2000;4.894.934;52.339.376;POINT(52.339376,4.894934)
2533;Wonen;12;3000;4.907.485;52.349.895;POINT(52.349895,4.907485)
2534;Wonen;9.4;2000;4.935.628;52.350.267;POINT(52.350267,4.935628)
2535;Wonen;9.4;2000;4.824.767;52.360.569;POINT(52.360569,4.824767)
2536;Wonen;3;1000;484.669;52.351.421;POINT(52.351421,4.84669)
2537;Wonen;9.4;2000;4.929.056;52.407.357;POINT(52.407357,4.929056)
2538;Wonen;9.4;2000;4.991.682;52.316.577;POINT(52.316577,4.991682)
2539;Wonen;9.4;2000;4.824.025;52.362.964;POINT(52.362964,4.824025)
2540;NietWonen;18;4000;4.831.606;52.352.298;POINT(52.352298,4.831606)
2541;Wonen;9.4;2000;4.819.619;52.346.738;POINT(52.346738,4.819619)
2542;Wonen;9.4;2000;4.806.518;52.343.811;POINT(52.343811,4.806518)
2543;Wonen;9.4;2000;4.821.419;52.374.671;POINT(52.374671,4.821419)
2544;Wonen;9.4;2000;4.990.062;52.300.902;POINT(52.300902,4.990062)
2545;Wonen;9.4;2000;480.947;52.351.512;POINT(52.351512,4.80947)
2546;NietWonen;9.4;2000;4.914.123;52.406.589;POINT(52.406589,4.914123)
2547;Wonen;9.4;2000;4.836.554;52.383.542;POINT(52.383542,4.836554)
2548;NietWonen;16;4000;4.849.756;52.381.421;POINT(52.381421,4.849756)
2549;Wonen;9.4;2000;4.989.944;52.354.498;POINT(52.354498,4.989944)
2550;Wonen;7;2000;4.908.585;52.356.602;POINT(52.356602,4.908585)
2551;Wonen;3;1000;4.901.364;52.407.965;POINT(52.407965,4.901364)
2552;Wonen;9.4;2000;4.889.412;5.241.043;POINT(52.41043,4.889412)
2553;Wonen;9.4;2000;498.949;52.320.498;POINT(52.320498,4.98949)
2554;Wonen;6;1000;4.868.554;52.381.012;POINT(52.381012,4.868554)
2555;Wonen;9.4;2000;4.989.066;52.316.703;POINT(52.316703,4.989066)
2556;NietWonen;85;21000;4.775.148;52.389.736;POINT(52.389736,4.775148)
2557;Wonen;4;1000;4.934.471;52.352.053;POINT(52.352053,4.934471)
2558;NietWonen;6;1000;4.910.056;52.401.689;POINT(52.401689,4.910056)
2559;Wonen;9.4;2000;4.829.844;52.383.681;POINT(52.383681,4.829844)
2560;Wonen;9.4;2000;4.973.332;52.289.501;POINT(52.289501,4.973332)
2561;NietWonen;15;4000;4.849.794;5.238.072;POINT(52.38072,4.849794)
2562;Wonen;9.4;2000;4.997.476;52.298.533;POINT(52.298533,4.997476)
2563;Wonen;9.4;2000;4.807.138;52.351.053;POINT(52.351053,4.807138)
2564;Wonen;9.4;2000;491.482;52.405.839;POINT(52.405839,4.91482)
2565;Wonen;9.4;2000;4.790.558;52.344.709;POINT(52.344709,4.790558)
2566;NietWonen;90;23000;4.841.321;52.350.591;POINT(52.350591,4.841321)
2567;Wonen;17;4000;4.935.737;523.502;POINT(52.3502,4.935737)
2568;Wonen;16;4000;4.992.182;52.292.256;POINT(52.292256,4.992182)
2569;NietWonen;90;22000;4.836.393;52.371.075;POINT(52.371075,4.836393)
2570;Wonen;9.4;2000;4.861.547;52.324.676;POINT(52.324676,4.861547)
2571;NietWonen;281;69000;4.951.322;52.365.808;POINT(52.365808,4.951322)
2572;Wonen;9.4;2000;4.792.771;52.344.031;POINT(52.344031,4.792771)
2573;NietWonen;9.4;2000;4.967.974;52.303.014;POINT(52.303014,4.967974)
2574;NietWonen;68;17000;4.909.972;52.406.573;POINT(52.406573,4.909972)
2575;Wonen;9.4;2000;4.999.106;52.352.053;POINT(52.352053,4.999106)
2576;Wonen;3;1000;4.942.895;52.323.394;POINT(52.323394,4.942895)
2577;Wonen;9.4;2000;4.966.002;52.293.863;POINT(52.293863,4.966002)
2578;Wonen;10;2000;4.997.446;52.350.715;POINT(52.350715,4.997446)
2579;Wonen;9.4;2000;4.953.998;5.239.054;POINT(52.39054,4.953998)
2580;Wonen;9.4;2000;4.962.406;52.320.613;POINT(52.320613,4.962406)
2581;Wonen;9.4;2000;4.923.347;52.347.826;POINT(52.347826,4.923347)
2582;Wonen;9.4;2000;4.980.623;52.297.266;POINT(52.297266,4.980623)
2583;Wonen;9.4;2000;4.985.065;5.236.328;POINT(52.36328,4.985065)
2584;NietWonen;23;6000;4.799.776;52.382.197;POINT(52.382197,4.799776)
2585;Wonen;9.4;2000;4.825.227;52.360.533;POINT(52.360533,4.825227)
2586;Wonen;16;4000;4.918.119;52.358.046;POINT(52.358046,4.918119)
2587;Wonen;9.4;2000;4.979.948;52.328.735;POINT(52.328735,4.979948)
2588;Wonen;9.4;2000;4.820.309;5.234.925;POINT(52.34925,4.820309)
2589;NietWonen;9.4;2000;4.803.621;52.352.239;POINT(52.352239,4.803621)
2590;Wonen;9.4;2000;4.904.186;52.420.653;POINT(52.420653,4.904186)
2591;Wonen;34;8000;4.881.274;52.351.468;POINT(52.351468,4.881274)
2592;NietWonen;17;4000;4.849.274;52.380.586;POINT(52.380586,4.849274)
2593;Wonen;9.4;2000;4.992.472;52.300.399;POINT(52.300399,4.992472)
2594;Wonen;9.4;2000;4.808.675;52.343.987;POINT(52.343987,4.808675)
2595;Wonen;9.4;2000;495.279;52.317.621;POINT(52.317621,4.95279)
2596;Wonen;10;3000;4.805.492;52.342.746;POINT(52.342746,4.805492)
2597;NietWonen;9.4;2000;4.948.741;5.237.358;POINT(52.37358,4.948741)
2598;Wonen;9.4;2000;4.968.136;52.301.684;POINT(52.301684,4.968136)
2599;NietWonen;56;14000;4.944.411;52.369.111;POINT(52.369111,4.944411)
2600;Wonen;9.4;2000;4.892.015;524.228;POINT(52.4228,4.892015)
2601;NietWonen;40;10000;4.929.149;52.358.285;POINT(52.358285,4.929149)
